 , ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
GDP per capita at Market Price Volume Millions 2015 real USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLNYGDPPCKD,Bolivia,2014.19024483679,2013.84580724033,2029.66993430072,2050.07133191534,2099.99080781261,2156.18669979611,2221.42722050846,2283.42733487276,2383.25032345602,2422.5757881522,2481.40700634983,2568.52051110693,2657.23884814793,2793.51456503634,2900.90241435038,2996.01289806091,3077.57057481722,3160.16421045015,3246.76434190771,3272.38170836553,2949.81954617309,3098.35062102001,3172.9104627313,3226.08755675312,3205.32989954418,3147.14417056175,3071.92462309233,2987.62311428661
PERNYGDPPCKD,Peru,3367.69514504108,3342.47465181616,3482.96255299331,3589.57735297727,3730.80590300809,3930.16039683971,4192.73509318617,4517.0064229487,4896.92761684631,4920.13382783747,5295.2631599396,5588.45442934305,5882.13846634896,6170.49812542969,6255.0923632065,6385.97886736149,6550.51854430455,6617.29239308381,6756.3790328686,6790.30132236093,5975.9144642206,6709.87120984148,6832.5658772009,6730.59409804954,6879.19421556695,7013.8444857674,7116.65160467061,7223.96166508541
ECUNYGDPPCKD,Ecuador,3953.39879728357,4049.0001889951,4174.89793579965,4220.21298466638,4430.23717984189,4589.32849203452,4706.98056823816,4715.30359842555,4939.90215021789,4909.33681705683,5022.20374387205,5359.45724615639,5579.85624282158,5893.32172683036,6055.04172761485,5976.1596805651,5849.13587933672,6104.27253521751,6063.09567428953,5971.38938386723,5355.68933100132,5815.09477318775,6107.49494837143,6174.81822609571,5999.39391090278,6084.50014870907,6183.5475776333,6287.40691490384
COLNYGDPPCKD,Colombia,4016.80951843655,4020.50789822092,4058.28493637122,4154.17528574122,4311.91591272539,4457.27537514632,4694.03442996243,4947.25260873256,5048.57187306628,5046.97121819086,5214.24547683525,5517.10110936065,5675.75618047309,5910.80592373028,6121.83982094252,6248.5149061048,6316.07067859331,6309.67745369229,6353.54642931164,6439.96359890942,5891.95523287035,6457.16921885589,6854.95548570277,6825.89828761542,6861.57217293541,6957.49861428931,7077.48961519438,7219.72895878717
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
